Page,Romanized Chakma,pos,English translation
1,A,Prefix,"Indicates negation, opposition, or various negative prefixes (un-, in-, dis-, etc.)"
1,Akadā,n,Filthy language; indecent speak; non-utterance.
1,Akadāy,a,In filthy language; indecent; unspeakable.
1,Akadākanā,v,Abuse; speak indecently.
1,Akadākani,a,Uttering filthy language; abuse.
1,Akta,a,Proper time; appropriate season.
1,Aktat,ad,In time.
1,Akte-akte,ad,Time to time; occasionally.
1,Aktobar,n,October (The month of the English Calendar).
1,Akabālyā,a,Unfortunate; unlucky.
1,Aksā,a,Swollen; expanded.
1,Aksā ahnā,v,Swell; expand.
1,Akām,n,Bad act; misdeed; improper action.
1,Akāmar,a,Worthless; useless; good for nothing; inactive.
1,Akāl,n,Bad season; scarcity; famine.
1,Akār,n,Vowel.
1,Ak āran,a,Unnecessary; causeless.
1,Ak ārane,ad,For nothing; unreasonably; needlessly.
1,Ak ābil,a,Incompetent; unskilled.
1,Akālyā,a,Out of season; untimely; premature.
1,Ak ālyā buro,a,Prematurely old; premature.
1,Akāle,ad,Untimely; out of season; before time.
1,Akāle Pākyā,a,Prematurely ripen.
1,Akālemaran,n,Untimely or premature death.
1,Akul,a,Shoreless; vast; boundless.
1,Akritagyo,a,Ungratefulness.
1,Akhanjan,a,Conclusive; incontrovertible; infrangible.
1,Akkhar,n,Letter (of alphabet); syllable.
1,Akkhar-bāncityā,n,Compositor.
1,Akkhar bānyā,a,Recorded; written.
1,Akkharmālā,n,Alphabet; series of letters.
1,Akkhay,a,Undecaying; eternal; undying.
1,Aggyān,a,Senseless; ignorant; unconscious.
1,Agamān,n,Insult; disgrace; dishonour.
1,Agamān-gārānā,v,Insult.
1,Agamāngasyā,a,Insulted.
1,Agamānar,a,Insulted; insulting; disgraceful.
1,Agal,vt,To vomit.
1,Agalak,a / n,Talkative; garrulous; willy; humorous / Chatterbox.
1,Agal-bagal,n,Lanes and by-lanes.
2,Aglānā,v,Vomit.
2,Agalāni,n,Vomiting.
2,Agalyā,a,Vomited.
2,Agandi,a,Uncounted; countless; innumerable.
2,Agadānā,v,Pare; open; peel; scrape; shave off.
2,Agadāni,n,Peeling; scraping; opening; paring.
2,Agadeyā,a,Pared; peeled; scraped.
2,Agunar,a,Worthless; defective.
2,Agun,n,Bad quality; defect; fault.
2,Aghadan,a,Unusual; not likely to occur.
2,Aghadan-gadanā,n,Impossible or unusual event; unexpected occurrence.
2,Aghadanar,a,Not likely; improbable.
2,"Agh ā, ahghā",a,Dump [Dumb]; stupid; foolish.
2,Agh āgujor,a,Foolish and simple; dull witted.
2,Aghur,a,Formidable; terrible; deep; profound; too much.
2,Aghur gari,ad,Deeply or profoundly; unconsciously.
2,Anka,n,Mark; mathematics; number; figure.
2,Ankagarānā,v,Do or work out a sum; calculate.
2,Ankabidyb ā,n,Mathematics; science of numbers.
2,Anga,n,Limp [Limb]; body; form; feature; item.
2,Angi,n,Woman; woman of beautiful limps [limbs].
2,Achal,a,Immovable; motionless; obsolete; firm; paralysis.
2,Achalan,n,Being out of use; obsoleteness.
2,Achin,a,Unknown.
2,Ajan,n,Weight; measure; dignity.
2,Ajanbārā,a,Indignity; indignant.
2,Ajanyā,a,As per necessity.
2,Ajani,a,Necessity; needful; weighty; useful.
2,"Ajat, ajar, ajade",ad / a,Really; actually / Real; original; genuine.
2,Ajatyā,a,Going out over or above anything.
2,Ajabane,a,Certainly; fortunately.
2,Ajaba,n,Lung; liver.
2,Ajabā,a,Obscene; indecent; wanton.
2,Ajabābhāsh,n,Abusive or filthy language.
2,Ajamarah,n,Ill tempered; peevish.
2,Ajamane,a,By good luck.
2,Ajaba-jalani,n,Pneumonia.
2,Ajadānā,n,Favour; compassion.
2,Ajal,a,High; tall; elevated.
2,Ajalat,ad,On the high; above.
2,Ajalneejo,a,High and low; uneven.
2,Ajā,n,Pestle of a husking pedal.
2,Ajāgā,n,Private part; secret place; bad place.
2,Ajāt,n,Unborn; of low caste; illegitimate.
2,"Ajānā, ajāndā",a,Unknown; unacquainted.
3,"Ajānāt, ajāndāt",ad,Unknowingly; unwittingly.
3,Ajābin,n,Unrully [Unruly]; rude.
3,Ajiren,a,Unceasing; constant; continuous.
3,Ajirendi,ad / a,Continuously / Without break.
