Page,Romanized Chakma,pos,English translation
100,Kulye,a,situated on the bank or coast.
100,kuleyā,a,crossed; got through; succeded.
100,Kulo,n,winnowing fan.
100,Kulo kājā,a,disadvantage; waste; non sufficient.
100,Kushāsak,n,bad ruler; mal or bad administrator.
100,Kushāsan,n,mis-administration; misrule; mis-government.
100,Kushree,a,ugly; evil looking.
100,Kusangaskār,n,superstition; untauchibility.
100,Kusaban,n,bad dream.
100,Kusaban deghānā,v.t,dream a bad dream.
100,Kusamār,n,evil company; bad friend; maleassociation.
100,Kusān,n,ugly shape; not beautiful to see.
100,Kuhu,n,note or call of a cuckoo.
100,Kuhen,a,bad time; inauspicious time.
100,Kuhene,ad,in an inauspicious time or bad time.
100,Kuyā,n,well; water point or tank.
100,Kuyāch,a,easy; skill; tactfull.
100,Kuyāch garānā,v.t,practise; habituate; exercise.
100,kei,n,moss; lichen; algae.
100,Keiyā,n,body.
100,Kekkarak shāk,n,a kind of vegetable.
100,Kekkere kyck,n,cock's crow.
100,Kegar,n,squint; crooked eye.
100,Kegerā,n,squint eyed; crooked eyed.
100,Kegaree,n,fem. see Kegerā.
100,Kengar bengar,a,crooked; bent; zigzag; winding.
100,Kengerec,ad,how; in what manner.
100,kengolee,n,elbow.
100,Kech,n,hair.
100,Kech chuā,n,earth worm.
100,Kech neiyā,a,hairless.
100,Kecchyā,a,cleaned; rubbed; polished.
100,Kej,v.t.i,to rub; polish; clean.
100,Kej kumoree,n,a kind of flying green insect.
100,Kejchyā,a,throughly scrubbed.
100,Kejani,n,throughly scrabbing.
100,Kejā,a,throughly scrubbed.
100,Kejānā,v.t.i,clean; polish; rub.
100,Kejiyā,n,one who cleans.
100,kejh kejānā,v.t.i,chatter.
101,Kejh kejāni,n.,chattering.
101,Kejhān,ad.,how; by what means.
101,Ket,n.,side; border; lean; incline.
101,Ket ketyā,n.,a kind of big bird.
101,Ket ketyā gulo,n.,green melon.
101,Ket garānā,v.t.i.,make incline; make down.
101,Ketāli,n.,kettle.
101,Ket ahnā,v.t.i.,heel over; lean.
101,Ketyāy,ad. & ind.,why; for what; n. direction; side; toward.
101,Ket tārāng,n.,a kind of tree.
101,Kedā,n.,torn piece of cloth.
101,Kedāktuk,n.,the thimber or bamboo given to support the house.
101,Kedāfal,n.,a kind of bitter fruit; beautiful but meritless person or woman.
101,Kedi,a.,unhealthy; thin man.
101,Kedek kedek,ind.,a continuous laughing; word for exciting laugh.
101,Kedek kedek ājānā,v.t.i.,laugh after an exciting.
101,Keder keder,n.,amatory; exciting; agitation.
101,Keder keder garānā,v.t.i.,make amatory quarrel; disturb.
101,Ken kenyā,a.,peevish; fretful.
101,Kendra,n.,centre.
101,Kendrat,a.,at the centre; placed in the centre; brought into the centre.
101,Kendra thal,n.,centre; capital; headquarters.
101,Kendrar,a.,central.
101,Kendra shāsan,a.,administered by the centre.
101,Kendrio,a.,central.
101,Kendriyo sarkār,n.,central government.
101,Kensān,ad.,how; by what means.
101,Ken sānyā,a.,of what kind; of what sort.
101,Kenā,n.,revenge; action against; spite.
101,Kenā uguranā,v.t.i.,take revenge; retaliate.
101,Kenā ugureyā,a.,revenged; retaliated.
101,Kenā bānyā,a.,desired for revenge.
101,Kenā bānānā,v.t.i.,desire for revenge.
101,kenāh,a. & n.,wild; rustic; uncivil; rude.
101,Kenāh sugar,n.,wild hog.
101,Kenih sugar,n.,wild female hog
102,Kene kene,ad.,any how; by some means or method.
102,Kep,n.,cape.
102,Kebā,n.,circle.
102,Kebāng,n.,orts; fragment of a food.
102,Kebār,n.,lock system of a door or window.
102,Kebār mārānā,v.t.i.,shut or lock-up the door or window.
102,Kem,n.,broken piece of a bamboo; cane.
102,Kem kattā,n.,see Kem.
102,Kemerā,n.,camera.
102,Ker ker,a.,chirpy; cheerful.
102,Ker kerana,v.t.i.,chirp; chatter; screech.
102,Kerang,a.,unsteady; restless; fickle.
102,Kerang chalānā,v.t.i.,become perturb; vacillate.
102,Kerangyā,n.,half brain man; restless man; perturb man.
102,Kerangee,n.,fem. half brain woman; restless or perturb woman.
102,Kerā,n.,a kind of snail.
102,Kerāni,n.,clerk.
102,Kerāp,n.,trap (made of bamboo).
102,Kerāsin,n.,kerosine oil.
102,Kereng gāl,n.,quarrel.
102,Kereng-galyā,a. & n.,quarrel some; disputed.
102,Kerengā,n.,epilepsy; syncope.
